,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.20383339,0.20093969,0.20171551,0.20802875,0.21094356,0.2108469,0.20985,0.08828279,0.08171078,0.19064806,0.14265238,0.16759048,0.16838327,0.13216107,0.12783848,0.16391173,0.23213398,0.23789881,0.26674676,0.16451798,0.12325275,0.14494085,0.09897363,0.13596718,0.14560816,0.1182959,0.13439314,0.10223409,0.10612848,0.118005514,0.10902878,0.09009109,0.12085171,0.12067824,0.14491406,0.14732517,0.15190427,0.15517496,0.14771725,0.15055068,0.12454637,0.14005256,0.14211933,0.107312314,0.09105667,0.085794546,0.07407587,0.06467944
0,0.21708022,0.21430853,0.21324623,0.21077275,0.21092093,0.20842086,0.1930388,0.11028141,0.120026484,0.1456236,0.22504626,0.18512025,0.16444671,0.15539563,0.104922555,0.10278461,0.12487614,0.1786956,0.20709124,0.15533777,0.13510191,0.15754923,0.10629549,0.0870132,0.072268955,0.05726216,0.056358874,0.053208377,0.05731526,0.067474835,0.07621689,0.08126429,0.07820742,0.09254493,0.100154236,0.0979672,0.085076,0.074615724,0.06688794,0.07281507,0.07490386,0.08504649,0.11725509,0.07120724,0.047554854,0.038559854,0.028621007,0.021567212
0,0.34525365,0.34517324,0.34628382,0.34189677,0.3385495,0.34171486,0.33634374,0.30853105,0.34123188,0.33995306,0.29637104,0.26256686,0.24060719,0.25407672,0.23646982,0.28581843,0.32659814,0.32070163,0.20944412,0.19348866,0.18376832,0.18728943,0.18658172,0.2203391,0.2782758,0.29622278,0.3503077,0.3160111,0.30925748,0.30549628,0.2952305,0.29558173,0.3322025,0.3120594,0.30344632,0.31372914,0.31143507,0.32754597,0.31160882,0.30780455,0.23859377,0.23462038,0.19808833,0.13262163,0.11465757,0.09494101,0.07643647,0.056834497
0,0.22160211,0.22298864,0.22862768,0.23563914,0.2305223,0.22836177,0.22471862,0.17131162,0.16495703,0.20788072,0.20843327,0.2092131,0.18058483,0.1356787,0.13144967,0.17178498,0.17452936,0.22621217,0.23650037,0.14496498,0.13935153,0.14486182,0.09544753,0.10057484,0.085175216,0.08638011,0.12680356,0.09577393,0.09122558,0.098038405,0.102826916,0.07779912,0.08055403,0.08167363,0.09144665,0.10308956,0.09944218,0.1016791,0.105684035,0.12751654,0.10481375,0.13119215,0.16765223,0.097214065,0.08590744,0.07089015,0.064181015,0.056611687
0,0.019830842,0.019879658,0.018860878,0.013356045,0.010954272,0.013044856,0.011647255,0.0075661214,0.022316856,0.016767493,0.010527748,0.020161895,0.017257323,0.012524336,0.01378116,0.026036566,0.04749196,0.06513639,0.031188441,0.03099989,0.021037614,0.036922436,0.04438873,0.028650925,0.028571775,0.07912534,0.12591992,0.11023308,0.060718607,0.044411756,0.039979815,0.019523414,0.018696079,0.024955986,0.020473441,0.0142158065,0.007032865,0.005948817,0.0055394536,0.0060780956,0.004841955,0.004355322,0.0026091333,0.0027889558,0.003262924,0.0033983176,0.0022650193,0.0020034784
0,0.2767059,0.28056434,0.28050464,0.2875323,0.29099956,0.29113027,0.27950263,0.19016412,0.22308181,0.2662488,0.2936977,0.28118253,0.24494508,0.2727402,0.23358193,0.3311339,0.37550446,0.31731382,0.3030555,0.20609272,0.16740309,0.09265387,0.08142006,0.094513014,0.1196476,0.11341379,0.097188294,0.07631321,0.07793114,0.09564438,0.08705532,0.08031366,0.08898912,0.08849513,0.09351623,0.07718199,0.07900067,0.098601155,0.09206098,0.10445227,0.094157815,0.100103654,0.1363462,0.11250787,0.09550832,0.086916514,0.080346555,0.063391745
0,0.2513369,0.25065365,0.25235814,0.26255444,0.26497564,0.2725124,0.25176302,0.19733939,0.22030914,0.24680462,0.2569305,0.23104858,0.21180676,0.1950184,0.16057181,0.18273991,0.21517168,0.20993213,0.24163209,0.18547757,0.122081354,0.13487068,0.084032096,0.08993903,0.10191007,0.08120034,0.08289733,0.076916255,0.0931954,0.10146909,0.11940773,0.11382455,0.11919955,0.11927664,0.12664907,0.1443088,0.1421024,0.13640673,0.1189533,0.1317002,0.13380998,0.14417432,0.17814812,0.08474564,0.07052584,0.06464922,0.06347926,0.061046887
0,0.19269536,0.19008021,0.19571199,0.20937338,0.20357703,0.2172036,0.23895283,0.22378416,0.2044323,0.21703544,0.19506472,0.16147347,0.14560191,0.15864412,0.13620341,0.18623944,0.24911974,0.2612396,0.2896828,0.18185925,0.2529109,0.23894162,0.1644426,0.15566367,0.14034848,0.097357534,0.11546302,0.100725584,0.10524215,0.11541281,0.10556048,0.08523868,0.10104295,0.094996326,0.108579874,0.13368109,0.12350849,0.114955805,0.11453018,0.10974586,0.105131805,0.11143166,0.12583786,0.08918072,0.08039418,0.06070379,0.052580077,0.043648187
0,0.20465393,0.20106898,0.20432284,0.21618739,0.21485905,0.21171199,0.18666236,0.13607655,0.14270465,0.1887934,0.17417003,0.1693037,0.14901142,0.14364496,0.10093278,0.152907,0.21048594,0.23902352,0.24139741,0.12874396,0.12326832,0.11745664,0.0843114,0.122528195,0.091369264,0.07729454,0.09070247,0.070175,0.07778764,0.09125801,0.09734415,0.08809982,0.0911954,0.06942464,0.07836878,0.0835317,0.07329577,0.08191703,0.08479238,0.07892424,0.073520765,0.09331487,0.1215142,0.08002832,0.07240418,0.0643192,0.06314226,0.054488625
0,0.20901051,0.20944197,0.21261549,0.23919831,0.23417735,0.23214288,0.24867685,0.20903182,0.257166,0.31856668,0.27683434,0.16183722,0.16053054,0.14649732,0.15766695,0.2414207,0.1882314,0.25918782,0.22954677,0.17074361,0.20980893,0.20423472,0.12415712,0.17177473,0.20586808,0.18825877,0.21620011,0.18687953,0.20049596,0.2221272,0.2121055,0.18752247,0.1690111,0.16463406,0.18887581,0.20274031,0.19907813,0.1929959,0.17986955,0.20048168,0.17118983,0.18443872,0.23797694,0.14278673,0.11076736,0.09120267,0.08242326,0.062019434
