,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.3355455,0.34006703,0.3449401,0.34855452,0.35289833,0.35313702,0.36142,0.3479417,0.3172911,0.3164978,0.2995387,0.31475678,0.32583842,0.327916,0.32577392,0.34594044,0.33450776,0.32352242,0.3266401,0.3319685,0.33911198,0.34204143,0.33190462,0.3340912,0.3387966,0.3363234,0.3432077,0.343906,0.34918222,0.34862456,0.3395228,0.33932745,0.34279215,0.34385973,0.34100744,0.3396178,0.33859134,0.33837327,0.33880132,0.33992904,0.33990988,0.34080207,0.34148103,0.34125093,0.34117112,0.3414291,0.34119335,0.3412517
0,0.39612564,0.39882192,0.40035948,0.40165505,0.3996275,0.39918116,0.40227947,0.38900238,0.37642118,0.390563,0.48138863,0.42932272,0.44995236,0.44801813,0.45530066,0.45402437,0.42082024,0.41146246,0.41319066,0.37216577,0.3680014,0.35775265,0.3611817,0.36375996,0.36302835,0.3684995,0.37132844,0.3782644,0.37500697,0.37404436,0.3744106,0.37297097,0.37160164,0.37019038,0.37019965,0.37023556,0.36958075,0.36962533,0.36919257,0.36957595,0.36852714,0.36793104,0.36835814,0.36851338,0.36821836,0.36833593,0.36866567,0.36849824
0,0.4254788,0.43332925,0.4374164,0.42865944,0.41923982,0.41811487,0.41023383,0.38951656,0.37253997,0.38857755,0.41698143,0.4068871,0.44716883,0.43245634,0.441403,0.4257272,0.4163468,0.39076853,0.39127478,0.4087274,0.40581194,0.41142327,0.38781443,0.4078427,0.41845274,0.4049684,0.4078692,0.41467738,0.4102883,0.41106912,0.40552083,0.40594515,0.40324736,0.40463576,0.40340137,0.40832543,0.4108324,0.41084823,0.4116972,0.41392025,0.4178547,0.41737366,0.41963702,0.42123064,0.42085287,0.42071056,0.42087966,0.4207633
0,0.3352621,0.33469296,0.3345564,0.33462578,0.34012952,0.3471353,0.337288,0.32985875,0.32155505,0.31891844,0.3256689,0.33026415,0.31922284,0.3314865,0.31328318,0.2988577,0.29635,0.30169064,0.30309254,0.30392644,0.3039665,0.3033698,0.3127791,0.30779344,0.30835435,0.30837497,0.30795887,0.30713645,0.3090054,0.31164643,0.31139657,0.3126485,0.31338307,0.3143234,0.3153207,0.31527752,0.314652,0.31297502,0.31167784,0.3124714,0.31229183,0.31287307,0.31345215,0.31376168,0.3133364,0.31316674,0.31275335,0.3128282
0,0.055862185,0.065476,0.058689784,0.058260422,0.054666262,0.03652534,0.008073025,0.054253817,0.008702844,0.0016141844,0.0004378508,0.017385762,0.0068482715,0.0145679405,0.020765688,0.03589688,0.042035468,0.03021275,0.036868785,0.03956307,0.013581422,0.013556935,0.0164344,0.007226725,0.0028592297,0.0027924136,0.0027818705,0.0014367086,0.0010091452,0.00078900036,0.00050530955,0.00038271147,0.00028193693,0.00020587529,0.00019101906,0.00016413826,0.0001449395,0.00013363604,0.00012310046,0.0001104699,0.000105488776,0.000100540834,0.00010088439,9.998726e-05,0.00010062211,0.0001013094,0.000101779275,0.0001027928
0,0.3513514,0.35035798,0.34367502,0.34334707,0.34644377,0.37963137,0.40450045,0.45787364,0.36955616,0.46634197,0.5532559,0.55732316,0.5251074,0.6238245,0.54772526,0.5116548,0.5791606,0.55803245,0.52062935,0.4561251,0.38970774,0.36214292,0.34032747,0.34236765,0.34673405,0.33426258,0.34344053,0.33905792,0.33106744,0.3295684,0.33348998,0.33672875,0.338214,0.32368833,0.32332355,0.32631585,0.32611012,0.32502684,0.3243626,0.32569605,0.32748592,0.32695255,0.32511088,0.326405,0.32608745,0.32612,0.32572624,0.32576126
0,0.3507737,0.34998408,0.35156342,0.34603682,0.34963232,0.36084557,0.35918695,0.3459537,0.33743805,0.35492203,0.37455708,0.36671913,0.3550808,0.37742892,0.37928072,0.37380058,0.37649894,0.3820028,0.38937107,0.3769529,0.35221893,0.33540416,0.33317825,0.32654157,0.33585575,0.33999464,0.34543023,0.3438285,0.35170302,0.35097072,0.35124183,0.3512344,0.35584745,0.3578752,0.35681826,0.3552551,0.3571293,0.3567997,0.3562158,0.3560532,0.35589093,0.3562545,0.35591087,0.35563853,0.35496765,0.35508823,0.35495022,0.35512146
0,0.5046569,0.49782762,0.50348324,0.49337196,0.49513093,0.49262723,0.5072274,0.48082715,0.43052584,0.3915801,0.38757902,0.41230175,0.40450087,0.41016838,0.4265631,0.40805045,0.39915195,0.39483938,0.39121595,0.37177405,0.38488254,0.39998624,0.38380232,0.39028588,0.3776157,0.37442276,0.38242054,0.38721177,0.37816364,0.37693924,0.38313696,0.3837869,0.39077887,0.38716066,0.38572797,0.38650188,0.37890628,0.37908894,0.37932777,0.377954,0.38075808,0.38047734,0.38001052,0.38135555,0.38242128,0.38087925,0.38215107,0.38226476
0,0.3743418,0.3805242,0.37607273,0.3704117,0.36627492,0.34631526,0.35196313,0.33562395,0.33125648,0.3106062,0.3124613,0.30707622,0.31831917,0.343915,0.38380828,0.38310346,0.4014885,0.4014125,0.39581415,0.40611967,0.4243877,0.409803,0.39746603,0.37979472,0.3674708,0.36802053,0.35729596,0.35320565,0.35044485,0.3591726,0.35605913,0.35605142,0.35733196,0.3601337,0.36012492,0.3597637,0.35958245,0.36309943,0.3638795,0.365514,0.366026,0.36697027,0.36686602,0.36630598,0.36582112,0.36571905,0.3659234,0.36573845
0,0.3259124,0.32782686,0.33108994,0.33613855,0.33190256,0.33501604,0.31114635,0.29080772,0.2902039,0.27740416,0.29296547,0.28402695,0.29847836,0.28755602,0.30484363,0.29178545,0.2925563,0.29409936,0.2890522,0.3089699,0.30625606,0.3075223,0.3080574,0.31131873,0.31248596,0.3038807,0.29743347,0.29563263,0.29527727,0.29684803,0.29738337,0.29594818,0.29967943,0.30087346,0.30132428,0.29932886,0.30182973,0.30139494,0.3013073,0.30201218,0.30310115,0.30467778,0.30393705,0.30414012,0.30430993,0.30423504,0.30388692,0.3039618
