,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0.24364892,0.24142365,0.24487464,0.24576111,0.25040254,0.25031924,0.20256375,0.16477096,0.1801548,0.20498948,0.25110808,0.23541589,0.19027413,0.19222943,0.17472975,0.17355375,0.20198481,0.20389894,0.2297298,0.2050777,0.19552876,0.21014495,0.12705326,0.160215,0.14515969,0.14990063,0.1654806,0.13815776,0.14101742,0.15576957,0.14474143,0.13135493,0.16981862,0.17069088,0.2113692,0.19277038,0.21636236,0.21945503,0.19861501,0.20955801,0.18762921,0.2267576,0.22341855,0.1836649,0.14456399,0.12847407,0.1060189,0.08695597
0,0.22009309,0.21725206,0.22282587,0.23171793,0.22561136,0.2225813,0.21299534,0.1255809,0.14221555,0.19508415,0.2454888,0.26611206,0.24742857,0.23090096,0.21681379,0.19586627,0.19404031,0.20147656,0.30889732,0.20263039,0.2621152,0.26854005,0.22848296,0.18107949,0.18216069,0.21326457,0.19624095,0.15339795,0.17487018,0.18015139,0.18613766,0.18081172,0.15945393,0.18181814,0.18000661,0.15076807,0.14210479,0.14164935,0.13269491,0.14898436,0.14816622,0.16311766,0.18924248,0.16468051,0.13370101,0.12214076,0.104752935,0.095708326
0,0.28096935,0.2775205,0.27706528,0.29258332,0.2898411,0.28325328,0.24719422,0.2205904,0.21696924,0.25543672,0.28467765,0.27567092,0.25003487,0.26838204,0.24803042,0.24840184,0.2550917,0.25845048,0.27400118,0.2596068,0.24556665,0.3070648,0.24657123,0.30930063,0.31737378,0.3175241,0.35786602,0.30144385,0.3102805,0.31417945,0.2983292,0.3013078,0.3302428,0.32398805,0.31746173,0.32154152,0.32242218,0.34739998,0.33132228,0.32466722,0.27663985,0.28116235,0.26388943,0.20624895,0.1963406,0.17848556,0.16258883,0.13727424
0,0.24230707,0.23822363,0.23997645,0.24471346,0.24447313,0.24212742,0.23069821,0.18134679,0.14191851,0.24156372,0.26047793,0.21949406,0.19043529,0.19681214,0.12801234,0.10423334,0.14476542,0.17673706,0.21353154,0.1348634,0.14388207,0.23727854,0.17971885,0.1402906,0.0989151,0.114552476,0.15488468,0.12137969,0.1236881,0.12823746,0.13466571,0.10545204,0.10327202,0.084928565,0.11473129,0.124908045,0.13693689,0.13902561,0.12677065,0.14848542,0.1050059,0.13092227,0.14123563,0.07531479,0.062360633,0.043773234,0.033255216,0.025567343
0,3.4800516e-05,3.3851724e-05,3.394733e-05,3.0479086e-05,2.5015164e-05,2.4465562e-05,1.0857348e-05,4.806384e-06,1.4802339e-05,1.3260656e-05,2.474325e-05,2.825247e-05,2.8084109e-05,2.1000951e-05,2.2798014e-05,2.0977313e-05,2.9132763e-05,2.3326847e-05,1.726994e-05,1.8701025e-05,1.0543208e-05,1.9790841e-05,1.3189189e-05,1.8992829e-05,2.9696539e-05,3.805086e-05,4.2714928e-05,3.3558536e-05,3.2188553e-05,3.4071236e-05,3.5802463e-05,4.0343995e-05,9.496707e-05,7.369703e-05,6.512703e-05,4.8155485e-05,2.9096234e-05,2.4501534e-05,2.302338e-05,2.6920823e-05,1.8152678e-05,8.6024365e-06,4.7573726e-06,3.7109658e-06,5.025886e-06,4.1943504e-06,4.0098143e-06,3.5430537e-06
0,0.24468668,0.2435427,0.24455462,0.24505548,0.2494509,0.2583071,0.24155632,0.20916128,0.19797145,0.24361804,0.25793466,0.2617317,0.23380958,0.22306095,0.2509431,0.21767934,0.2766362,0.2999538,0.36877283,0.28386116,0.2831222,0.22735229,0.19958447,0.17628579,0.18914771,0.18022454,0.19230811,0.18152682,0.19343606,0.25155511,0.24294567,0.2318786,0.22957651,0.20945874,0.25460193,0.20274206,0.20977221,0.28913844,0.27189192,0.2877936,0.26470026,0.27409884,0.30382782,0.32953516,0.27815917,0.26763257,0.25562087,0.20990427
0,0.24291065,0.23980553,0.23505762,0.23048428,0.2307568,0.22904761,0.19470198,0.09589607,0.15906647,0.21150032,0.22639616,0.29874292,0.19579491,0.1970605,0.18487543,0.20846073,0.23731108,0.24910866,0.2508505,0.22453772,0.14273947,0.20780793,0.1762514,0.1523476,0.23209809,0.15623513,0.1848061,0.17899927,0.166125,0.1909111,0.17443267,0.15992677,0.17083806,0.16766584,0.1965288,0.18652323,0.1829341,0.17089461,0.16227846,0.16785614,0.16002415,0.17524217,0.22069035,0.12017081,0.104093246,0.09120319,0.09164542,0.09174305
0,0.22397195,0.21926062,0.21765938,0.22013588,0.22258992,0.2342466,0.23150532,0.16525465,0.22276843,0.216718,0.21241422,0.19217099,0.1985449,0.20885794,0.17929296,0.21998146,0.28611535,0.3080576,0.29271314,0.23028913,0.22477041,0.24518013,0.16247196,0.15772846,0.14748088,0.12541084,0.154011,0.11570921,0.11109169,0.113111794,0.10920794,0.09514965,0.103327766,0.096766405,0.1198517,0.13675778,0.13441609,0.12894727,0.14127728,0.14752297,0.14844684,0.17300217,0.1799371,0.14926067,0.14086719,0.113755934,0.10183992,0.08674156
0,0.25374246,0.2522802,0.2527133,0.25318524,0.25486758,0.25835365,0.2207696,0.20186882,0.20327492,0.21741855,0.22638844,0.21226612,0.20070226,0.24948528,0.22631548,0.24435015,0.20505528,0.22352596,0.26947674,0.22550464,0.22691391,0.2259914,0.17336415,0.20875192,0.16505437,0.16926873,0.17886038,0.15839161,0.15466887,0.15226384,0.16235763,0.14711288,0.14302967,0.12237135,0.12895837,0.14186995,0.111632764,0.117193125,0.11786866,0.11810676,0.10565411,0.1382707,0.18800776,0.114805184,0.09361949,0.08106885,0.079561554,0.06417792
0,0.20386015,0.20494321,0.2332563,0.23581527,0.23398374,0.24091928,0.22100125,0.17824654,0.22882219,0.24541616,0.19552974,0.1937071,0.16573547,0.15895818,0.17009151,0.1432353,0.1737477,0.19241814,0.2384306,0.22347294,0.2116723,0.24891947,0.17879187,0.1993389,0.18050808,0.15697531,0.17040996,0.15393656,0.16505292,0.1633967,0.15636058,0.124791704,0.114270926,0.1156198,0.18566367,0.18786012,0.19495277,0.18324402,0.15773651,0.17254603,0.14248823,0.14690447,0.17122452,0.076212935,0.057947315,0.04416972,0.037238475,0.028785584
0,0.17667966,0.17781733,0.17898428,0.20337346,0.19264089,0.20469494,0.18162565,0.098115385,0.1717376,0.20613943,0.19000284,0.22216104,0.19291256,0.1776031,0.16366713,0.17536464,0.17140113,0.17324583,0.20449248,0.21673794,0.18244745,0.17636403,0.15470986,0.191886,0.19328229,0.1842681,0.21061651,0.21560244,0.23525608,0.22756803,0.23668642,0.24622874,0.25859213,0.2553278,0.2876639,0.28333184,0.28520083,0.26097453,0.2501255,0.25665465,0.22037175,0.22048095,0.18985094,0.13393043,0.11442292,0.107193165,0.09727654,0.088882975
0,0.25611255,0.25735405,0.2587523,0.25914305,0.25770852,0.25886223,0.24105382,0.17935722,0.22760642,0.18646212,0.23698919,0.19818711,0.19227843,0.18916276,0.18309437,0.18158823,0.19969013,0.21346723,0.19567631,0.14918898,0.11711359,0.17312688,0.22150223,0.19431117,0.18503611,0.17273867,0.22553936,0.201892,0.16707313,0.22547321,0.17677219,0.1442471,0.14669327,0.17200346,0.16412252,0.15093069,0.1263628,0.12560947,0.1092987,0.10373407,0.09385689,0.1429261,0.15083908,0.1023358,0.090971306,0.0802918,0.07273143,0.061973166
0,0.24942732,0.24485348,0.26287863,0.25898096,0.25382245,0.26242447,0.24727295,0.17594478,0.22154056,0.23211764,0.26056296,0.23293315,0.1962718,0.26216897,0.16241138,0.216879,0.14996225,0.17736723,0.19964309,0.15432224,0.18053432,0.23083444,0.20519756,0.17667846,0.18876033,0.172188,0.21471785,0.19564134,0.1827714,0.17654797,0.17592005,0.16745552,0.19169198,0.18852197,0.21260288,0.2110087,0.20545621,0.21215177,0.17687409,0.17332296,0.14659809,0.18301971,0.20181575,0.1517714,0.12972121,0.12048639,0.1102133,0.09817516
